fold,raw_n,raw_coverage,raw_below,raw_above,raw_width,raw_pinball_q10,raw_pinball_q50,raw_pinball_q75,raw_pinball_q90,raw_q50_mae,raw_q50_Very_high_recall,raw_q50_Very_high_precision,raw_q50_Very_high_false_alarm_rate,raw_q50_Very_high_fp,raw_q50_Extreme_recall,raw_q50_Extreme_precision,raw_q50_Extreme_false_alarm_rate,raw_q50_Extreme_fp,raw_q75_Very_high_recall,raw_q75_Very_high_precision,raw_q75_Very_high_false_alarm_rate,raw_q75_Very_high_fp,raw_q75_Extreme_recall,raw_q75_Extreme_precision,raw_q75_Extreme_false_alarm_rate,raw_q75_Extreme_fp,raw_q90_Very_high_recall,raw_q90_Very_high_precision,raw_q90_Very_high_false_alarm_rate,raw_q90_Very_high_fp,raw_q90_Extreme_recall,raw_q90_Extreme_precision,raw_q90_Extreme_false_alarm_rate,raw_q90_Extreme_fp,served_n,served_coverage,served_below,served_above,served_width,served_pinball_q10,served_pinball_q50,served_pinball_q75,served_pinball_q90,served_q50_mae,served_q50_Very_high_recall,served_q50_Very_high_precision,served_q50_Very_high_false_alarm_rate,served_q50_Very_high_fp,served_q50_Extreme_recall,served_q50_Extreme_precision,served_q50_Extreme_false_alarm_rate,served_q50_Extreme_fp,served_q75_Very_high_recall,served_q75_Very_high_precision,served_q75_Very_high_false_alarm_rate,served_q75_Very_high_fp,served_q75_Extreme_recall,served_q75_Extreme_precision,served_q75_Extreme_false_alarm_rate,served_q75_Extreme_fp,served_q90_Very_high_recall,served_q90_Very_high_precision,served_q90_Very_high_false_alarm_rate,served_q90_Very_high_fp,served_q90_Extreme_recall,served_q90_Extreme_precision,served_q90_Extreme_false_alarm_rate,served_q90_Extreme_fp
3,1239,0.5811138014527845,0.24213075060532688,0.17675544794188863,0.7970038982852831,0.14153351488437957,0.23134123388502775,0.18199674835032087,0.11080634576815239,0.4626824677700555,0.8481481481481481,0.8035087719298246,0.05779153766769866,56,0.038461538461538464,1.0,0.0,0,0.9222222222222223,0.7638036809815951,0.07946336429308566,77,0.038461538461538464,0.5,0.0008244023083264633,1,0.9481481481481482,0.7231638418079096,0.10113519091847266,98,0.23076923076923078,0.75,0.0016488046166529267,2,1239,0.7998385794995965,0.13801452784503632,0.062146892655367235,1.3281869558741197,0.12141255403848,0.23134123388502775,0.18199674835032087,0.09172666886337547,0.4626824677700555,0.8481481481481481,0.8035087719298246,0.05779153766769866,56,0.038461538461538464,1.0,0.0,0,0.9222222222222223,0.7638036809815951,0.07946336429308566,77,0.038461538461538464,0.5,0.0008244023083264633,1,0.9888888888888889,0.6691729323308271,0.13622291021671826,132,0.6923076923076923,0.45,0.018136850783182192,22
4,1239,0.546408393866021,0.2784503631961259,0.1751412429378531,0.9396313362472442,0.1688274121949872,0.2811029012936815,0.2096217742313379,0.12428259110937635,0.562205802587363,0.8764478764478765,0.7467105263157895,0.07857142857142857,77,0.2,0.5555555555555556,0.0032948929159802307,4,0.9459459459459459,0.7379518072289156,0.08877551020408163,87,0.24,0.5454545454545454,0.004118616144975288,5,0.9652509652509652,0.6868131868131868,0.11632653061224489,114,0.32,0.42105263157894735,0.009060955518945634,11,1239,0.7619047619047619,0.17029862792574657,0.06779661016949153,1.4915677885054386,0.13911761692452307,0.2811029012936815,0.2096217742313379,0.10736365112020747,0.562205802587363,0.8764478764478765,0.7467105263157895,0.07857142857142857,77,0.2,0.5555555555555556,0.0032948929159802307,4,0.9459459459459459,0.7379518072289156,0.08877551020408163,87,0.24,0.5454545454545454,0.004118616144975288,5,0.9845559845559846,0.6042654028436019,0.1704081632653061,167,0.56,0.27450980392156865,0.030477759472817133,37
5,1239,0.6521388216303471,0.1824051654560129,0.16545601291364004,0.7903301135054833,0.11536957083147449,0.1863838411705489,0.14088856414791923,0.08379736240274051,0.3727676823410978,0.7714285714285715,0.7336956521739131,0.046052631578947366,49,0.0,,0.0,0,0.9028571428571428,0.6781115879828327,0.07048872180451128,75,0.0,0.0,0.0008084074373484236,1,0.9485714285714286,0.6311787072243346,0.09116541353383459,97,0.0,0.0,0.0008084074373484236,1,1239,0.8393866020984665,0.10734463276836158,0.053268765133171914,1.2625718489815114,0.10191550091383614,0.1863838411705489,0.14088856414791923,0.07642646228838948,0.3727676823410978,0.7714285714285715,0.7336956521739131,0.046052631578947366,49,0.0,,0.0,0,0.9028571428571428,0.6781115879828327,0.07048872180451128,75,0.0,0.0,0.0008084074373484236,1,0.9942857142857143,0.5014409221902018,0.162593984962406,173,0.5,0.125,0.005658852061438965,7
pooled 3-5,3717,0.5932203389830508,0.23432875975248857,0.17245090126446058,0.8423217826793368,0.14191016597028042,0.23294265878308604,0.17750236224319263,0.10629543309342307,0.4658853175661721,0.8394886363636364,0.7645536869340233,0.0604049120477929,182,0.11320754716981132,0.6,0.001091703056768559,4,0.9261363636363636,0.7317620650953984,0.07932293395287089,239,0.1320754716981132,0.5,0.001910480349344978,7,0.9545454545454546,0.6850152905198776,0.10255559243279123,309,0.2641509433962264,0.5,0.003820960698689956,14,3717,0.800376647834275,0.13855259617971483,0.06107075598601022,1.3607755311203564,0.12081522395894641,0.23294265878308604,0.17750236224319263,0.0918389274239908,0.4658853175661721,0.8394886363636364,0.7645536869340233,0.0604049120477929,182,0.11320754716981132,0.6,0.001091703056768559,4,0.9261363636363636,0.7317620650953984,0.07932293395287089,239,0.1320754716981132,0.5,0.001910480349344978,7,0.9886363636363636,0.5958904109589042,0.15665449717889146,472,0.6226415094339622,0.3333333333333333,0.018013100436681223,66
