fold,train_end,val_start,val_end,n_train,n_val,uvi_mae,uvi_rmse,uvi_r2,uvi_bias,who_accuracy,recall_Very high,recall_Extreme,uva_mae_wm2,uvb_mae_wm2
1,2023-05-06 08:00:00+00:00,2023-05-07 10:00:00+00:00,2023-08-28 05:00:00+00:00,1231,1239,0.5008936273024986,0.7671482825474123,0.9450256528938956,-0.05468034978420032,0.831315577078289,0.7725631768953068,0.23529411764705882,3.2158387420671706,0.10022994565570933
2,2023-08-27 04:00:00+00:00,2023-08-28 06:00:00+00:00,2024-01-01 10:00:00+00:00,2470,1239,0.5085547805503536,0.7040433176754307,0.934802390786172,-0.35411896537747073,0.8208232445520581,0.43529411764705883,0.3333333333333333,2.9553574024682043,0.08727634199476629
3,2023-12-31 07:00:00+00:00,2024-01-02 02:00:00+00:00,2024-05-06 08:00:00+00:00,3709,1239,0.4461236372290304,0.6972900300099414,0.9479792644978259,0.00384236653192423,0.8280871670702179,0.8114754098360656,0.038461538461538464,2.737564895035521,0.08318850640374315
4,2024-05-05 07:00:00+00:00,2024-05-06 09:00:00+00:00,2024-08-27 04:00:00+00:00,4948,1239,0.5222377688796622,0.7882197072027318,0.9374001703965509,0.04223920495783917,0.8167877320419693,0.811965811965812,0.2,3.2844479812251888,0.09724888171701546
5,2024-08-26 03:00:00+00:00,2024-08-27 05:00:00+00:00,2024-12-31 10:00:00+00:00,6187,1239,0.37142088022728015,0.5895798413977611,0.9545162626751129,0.10770339650044727,0.8732849071832123,0.7976878612716763,0.0,2.527956993370589,0.06927800763560941
