source,variable,reference,subset,n,mae,bias,rmse,r
Open-Meteo,uv_index,OMI UVindex (all-sky),all days,275,2.4281880637708655,-2.338951309222653,3.146985941261033,0.40105053772404936
NASA POWER,nasa_uvi,OMI UVindex (all-sky),all days,275,1.1434921657668309,-0.9893455347459092,1.4834985832570087,0.7788652408115964
Open-Meteo,uv_index_clear_sky,OMI CSUVindex (clear-sky),all days,275,2.725036459240994,-2.725036459240994,2.98044806324816,0.8838427002268079
NASA POWER,nasa_uvi,OMI CSUVindex (clear-sky),NASA cloud < 10 %,55,1.4202510668371984,-1.391605562091291,1.9053160442712602,0.618603589205349
Open-Meteo,uv_index_clear_sky,TEMIS UVIEF (clear-sky),all days,365,3.500460410208214,-3.500460410208214,3.6263675430720874,0.9375192497879237
NASA POWER,nasa_uvi,TEMIS UVIEF (clear-sky),NASA cloud < 10 %,71,2.6792063546554457,-2.6792063546554457,3.090128646886517,0.5508281683035083
