fold,train_end,val_start,val_end,n_train,n_val,uvi_mae,uvi_rmse,uvi_r2,uvi_bias,who_accuracy,recall_Very high,recall_Extreme,uva_mae_wm2,uvb_mae_wm2
1,2023-05-06 08:00:00+00:00,2023-05-07 10:00:00+00:00,2023-08-28 05:00:00+00:00,1231,1239,0.5072076998248193,0.7808115611608727,0.9430499753634551,0.005591107467075931,0.8305084745762712,0.7617328519855595,0.4117647058823529,3.1959392868114267,0.09498189650685615
2,2023-08-27 04:00:00+00:00,2023-08-28 06:00:00+00:00,2024-01-01 10:00:00+00:00,2470,1239,0.5845430929146813,0.8079946592555685,0.9141283339081407,-0.4437034321907359,0.7893462469733656,0.38823529411764707,0.3333333333333333,3.221740372244165,0.09695596971539248
3,2023-12-31 07:00:00+00:00,2024-01-02 02:00:00+00:00,2024-05-06 08:00:00+00:00,3709,1239,0.45413625254481443,0.7042950584872841,0.9469288058746649,-0.05070722964896868,0.8248587570621468,0.8032786885245902,0.038461538461538464,2.8015846216480864,0.08541425347183446
4,2024-05-05 07:00:00+00:00,2024-05-06 09:00:00+00:00,2024-08-27 04:00:00+00:00,4948,1239,0.5367078495159496,0.8049192094948227,0.9347195473480158,0.022082462022952432,0.804681194511703,0.7991452991452992,0.2,3.4084139536684432,0.10005748215800526
5,2024-08-26 03:00:00+00:00,2024-08-27 05:00:00+00:00,2024-12-31 10:00:00+00:00,6187,1239,0.3829036908568637,0.6104378982301072,0.9512411035629591,0.12221373916955403,0.8668280871670703,0.7861271676300579,0.0,2.611481361185067,0.07223575109875419
