quantile,level,n_events,n_alerts,tp,fp,fn,recall,precision,false_alarm_rate
q50,Very high,704,773,591,182,113,0.8394886363636364,0.7645536869340233,0.0604049120477929
q50,Extreme,53,10,6,4,47,0.11320754716981132,0.6,0.001091703056768559
q75,Very high,704,891,652,239,52,0.9261363636363636,0.7317620650953984,0.07932293395287089
q75,Extreme,53,14,7,7,46,0.1320754716981132,0.5,0.001910480349344978
q90,Very high,704,1168,696,472,8,0.9886363636363636,0.5958904109589042,0.15665449717889146
q90,Extreme,53,99,33,66,20,0.6226415094339622,0.3333333333333333,0.018013100436681223
